,stack,height,N,max_num,utilization_rate,UB,stack0,stack1,stack2,utilized_stack,max_sum_stack0,max_sum_stack1,max_sum_stack2,stack_0-height_0,stack_0-height_1,stack_0-height_2,stack_1-height_0,stack_1-height_1,stack_1-height_2,stack_2-height_0,stack_2-height_1,stack_2-height_2,BRP1
0,3,3,5,7,0.5555555555555556,6,3,1,1,3,1,0,0,3.0,2.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,6
1,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,2.0,5.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,8
2,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,1,0,4.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,6
3,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,0,0,1.0,0.0,0.0,3.0,5.0,2.0,4.0,0.0,0.0,6
4,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,2,0,3.0,0.0,0.0,1.0,5.0,4.0,2.0,0.0,0.0,9
5,3,2,5,5,0.8333333333333334,6,2,2,1,3,1,1,0,4.0,5.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,7
6,3,2,5,5,0.8333333333333334,6,2,2,1,3,1,0,0,1.0,4.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,6
7,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,1,0,3.0,0.0,0.0,5.0,1.0,2.0,4.0,0.0,0.0,6
8,3,2,5,5,0.8333333333333334,6,2,2,1,3,1,1,0,1.0,5.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,8
9,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,2.0,5.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,7
10,3,2,5,5,0.8333333333333334,6,2,2,1,3,0,1,0,5.0,3.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,6
11,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,0,0,2.0,0.0,0.0,4.0,3.0,1.0,5.0,0.0,0.0,5
12,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,2.0,5.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,7
13,3,3,5,7,0.5555555555555556,6,3,1,1,3,0,0,0,3.0,4.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,6
14,3,2,5,5,0.8333333333333334,6,2,2,1,3,0,0,0,3.0,1.0,0.0,5.0,4.0,0.0,2.0,0.0,0.0,5
15,3,2,5,5,0.8333333333333334,6,2,1,2,3,0,0,1,5.0,4.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,6
16,3,2,5,5,0.8333333333333334,6,2,2,1,3,0,0,0,5.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,5
17,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,3.0,5.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,7
18,3,2,5,5,0.8333333333333334,6,2,2,1,3,0,1,0,4.0,1.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,6
19,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,0,0,2.0,0.0,0.0,5.0,3.0,1.0,4.0,0.0,0.0,5
20,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,1,0,5.0,0.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,6
21,3,3,5,7,0.5555555555555556,6,3,1,1,3,0,0,0,4.0,5.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,6
22,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,3.0,4.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,7
23,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,0,0,1.0,0.0,0.0,5.0,4.0,3.0,2.0,0.0,0.0,5
24,3,3,5,7,0.5555555555555556,6,3,1,1,3,0,0,0,4.0,3.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,5
25,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,1,0,3.0,0.0,0.0,4.0,1.0,2.0,5.0,0.0,0.0,6
26,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,1,0,1.0,0.0,0.0,5.0,3.0,4.0,2.0,0.0,0.0,6
27,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,3.0,5.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,8
28,3,2,5,5,0.8333333333333334,6,2,2,1,3,1,0,0,1.0,3.0,0.0,4.0,2.0,0.0,5.0,0.0,0.0,6
29,3,2,5,5,0.8333333333333334,6,2,1,2,3,0,0,1,3.0,2.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,7
30,3,2,5,5,0.8333333333333334,6,2,2,1,3,0,1,0,5.0,1.0,0.0,2.0,4.0,0.0,3.0,0.0,0.0,6
31,3,2,5,5,0.8333333333333334,6,1,2,2,3,0,0,1,4.0,0.0,0.0,2.0,1.0,0.0,3.0,5.0,0.0,6
32,3,2,5,5,0.8333333333333334,6,2,2,1,3,1,1,0,2.0,5.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,7
33,3,2,5,5,0.8333333333333334,6,2,1,2,3,0,0,1,5.0,4.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,6
34,3,2,5,5,0.8333333333333334,6,2,1,2,3,0,0,1,2.0,1.0,0.0,5.0,0.0,0.0,3.0,4.0,0.0,6
35,3,2,5,5,0.8333333333333334,6,2,2,1,3,1,1,0,2.0,3.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,7
36,3,3,5,7,0.5555555555555556,6,3,1,1,3,1,0,0,4.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,6
37,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,2.0,3.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,7
38,3,3,5,7,0.5555555555555556,6,3,1,1,3,0,0,0,2.0,5.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,7
39,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,3.0,5.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,7
40,3,2,5,5,0.8333333333333334,6,2,2,1,3,0,1,0,4.0,1.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,6
41,3,2,5,5,0.8333333333333334,6,2,2,1,3,1,1,0,1.0,4.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,7
42,3,2,5,5,0.8333333333333334,6,2,2,1,3,0,0,0,4.0,1.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,5
43,3,2,5,5,0.8333333333333334,6,2,1,2,3,0,0,1,2.0,1.0,0.0,5.0,0.0,0.0,3.0,4.0,0.0,6
44,3,3,5,7,0.5555555555555556,6,3,1,1,3,0,0,0,5.0,2.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,5
45,3,2,5,5,0.8333333333333334,6,2,2,1,3,1,0,0,2.0,4.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,6
46,3,2,5,5,0.8333333333333334,6,1,2,2,3,0,1,1,2.0,0.0,0.0,3.0,4.0,0.0,1.0,5.0,0.0,8
47,3,2,5,5,0.8333333333333334,6,2,2,1,3,1,0,0,4.0,5.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,6
48,3,2,5,5,0.8333333333333334,6,2,1,2,3,0,0,1,3.0,1.0,0.0,4.0,0.0,0.0,2.0,5.0,0.0,7
49,3,2,5,5,0.8333333333333334,6,1,2,2,3,0,1,1,5.0,0.0,0.0,3.0,4.0,0.0,1.0,2.0,0.0,7
50,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,3.0,5.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,7
51,3,2,5,5,0.8333333333333334,6,1,2,2,3,0,1,1,3.0,0.0,0.0,2.0,4.0,0.0,1.0,5.0,0.0,8
52,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,2.0,4.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,7
53,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,1.0,4.0,0.0,3.0,0.0,0.0,2.0,5.0,0.0,8
54,3,3,5,7,0.5555555555555556,6,3,1,1,3,0,0,0,2.0,4.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,6
55,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,4.0,5.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,7
56,3,2,5,5,0.8333333333333334,6,2,2,1,3,0,1,0,5.0,4.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,7
57,3,2,5,5,0.8333333333333334,6,2,1,2,3,0,0,1,2.0,1.0,0.0,3.0,0.0,0.0,4.0,5.0,0.0,6
58,3,2,5,5,0.8333333333333334,6,2,2,1,3,1,1,0,1.0,2.0,0.0,3.0,5.0,0.0,4.0,0.0,0.0,7
59,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,1.0,5.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,8
60,3,2,5,5,0.8333333333333334,6,2,2,1,3,0,1,0,4.0,3.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,6
61,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,1.0,2.0,0.0,4.0,0.0,0.0,3.0,5.0,0.0,7
