,stack,height,N,max_num,utilization_rate,UB,stack0,stack1,stack2,utilized_stack,max_sum_stack0,max_sum_stack1,max_sum_stack2,stack_0-height_0,stack_0-height_1,stack_0-height_2,stack_1-height_0,stack_1-height_1,stack_1-height_2,stack_2-height_0,stack_2-height_1,stack_2-height_2,BRP2
0,3,3,5,7,0.5555555555555556,6,3,1,1,3,1,0,0,3.0,2.0,5.0,1.0,0.0,0.0,4.0,0.0,0.0,5
1,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,2.0,5.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,5
2,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,1,0,4.0,0.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,5
3,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,0,0,1.0,0.0,0.0,3.0,5.0,2.0,4.0,0.0,0.0,5
4,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,2,0,3.0,0.0,0.0,1.0,5.0,4.0,2.0,0.0,0.0,5
5,3,2,5,5,0.8333333333333334,6,2,2,1,3,1,1,0,4.0,5.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,5
6,3,2,5,5,0.8333333333333334,6,2,2,1,3,1,0,0,1.0,4.0,0.0,3.0,2.0,0.0,5.0,0.0,0.0,5
7,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,1,0,3.0,0.0,0.0,5.0,1.0,2.0,4.0,0.0,0.0,5
8,3,2,5,5,0.8333333333333334,6,2,2,1,3,1,1,0,1.0,5.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0,5
9,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,2.0,5.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,5
10,3,2,5,5,0.8333333333333334,6,2,2,1,3,0,1,0,5.0,3.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,5
11,3,3,5,7,0.5555555555555556,6,1,3,1,3,0,0,0,2.0,0.0,0.0,4.0,3.0,1.0,5.0,0.0,0.0,5
12,3,2,5,5,0.8333333333333334,6,2,1,2,3,1,0,1,2.0,5.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,5
13,3,3,5,7,0.5555555555555556,6,3,1,1,3,0,0,0,3.0,4.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,5
